Query feature,Corpus Relative,Example,Group,Method,Subgroups,Why?
Named Entity,No,"New York , Andrey V",Lexogram,MODEL,Structured Identifiers,Diversity in Named Entities is natural to queries: “Where is Big Ben?” They are also having strong signal for sparseness of the input
Structured Identifiers,No,"10115, @types/node:18 ",Parent,REGEX,,Helps to determine “sparseness” of the query
Acronyms & Abbreviations,No,"NY , ny , N.Y. ",Lexogram,MODEL,Sentence Markers,"Same as the one above just in obscured form (natural text always has simplifications: like TV, Yay, LGTM)"
"Operator Syntax ",No,"OR , AND ",Lexogram,REGEX,Logical Structures,"Serves to diversity of queries, natural text (especially with current LLM boom) tends to have multiple routes and meanings "
"IDF profile: rate tokens, subword fragmentation, others",Yes,oov_rate,Lexogram,MODEL,Statistical Metrics,Metrics from corpora/query stats that can produce good heuristics. Diversity is necessary
Average PMI (Pointwise Mutual Information),No,,Lexogram,ALGO,Statistical Metrics,High cohesion from PMI  = the query contains multi-word units that should be matched as phrases; low cohesion = a bag of independent constraints. Maps perfectly to the lexical/sparse argument
Morphology: words inflection (base vs inflected),No,"run → base | running, ran, runs → inflected",Lexogram,ALGO,Statistical Metrics,"Measures word-form variation - the part of vocabulary mismatch caused by grammar, not synonyms"
"Word Order Sensitivity ",No,"""flights Berlin to Paris"" vs ""flights Paris to Berlin"", order irrelevant: ""cheap laptop 16GB berlin"" ≈ ""berlin laptop cheap 16GB"" 
",Lexogram,MODEL,Semantical,"Does the meaning change / preserved if the words are shuffled? "
Negation /exclusion,No,"""laptops without touchscreen""",Lexogram,REGEX,Sentence Markers,Something that sparse vectors cannot capture
Multi-contraint stacking,No,"“price is 120euro, laptop”",Lexogram,MODEL,Semantical,"Constraint stacking: is the query an AND of independent conditions? ""red waterproof size 42"".
"
Temporal sensitivity,No,“Bitcoin price today”,Query-Corpus,MODEL,Logical Structures,"Important since introduces important language constructs, like WHEN, AT xAM  etc."
"Stopwords, functional words ratio",No,"""the best restaurants in the center of Berlin"" (ratio ~0.5) vs ""restaurant Berlin good cheap"" (ratio ~0)",Lexogram,REGEX,Sentence Markers,High function-word ratio = natural-language phrasing where dense captures syntax; low ratio = keyword-telegram where sparse matches well. Also a cheap proxy for phrasing type.
"Length: word length, sentence length",No,"""coffee"" (1 token) vs ""where can I find a good coffee shop near Alexanderplatz open late"" (14 tokens)",Lexogram,ALGO,Statistical Metrics,Very short queries give dense too little context → sparse. Long queries carry enough syntactic/semantic signal for dense to outperform. Mid-length is the hybrid sweet spot.
Interjections,No,"""wow how does HNSW work"", ""ugh my docker container keeps crashing""",Lexogram,REGEX,Sentence Markers,"Noise tokens that dilute sparse signal (matching ""wow"" in the index) but dense learns to ignore them. Presence indicates conversational register → dense/hybrid."
Comparative vs Superlative markers,No,"""faster than Python"", ""best database for vector search"", ""cheapest flights""",Lexogram,REGEX,Sentence Markers,Comparative/superlative constructs encode ranking semantics that sparse bag-of-words cannot capture — dense or hybrid needed to understand the relational meaning.
Politeness markers,No,"""please explain vector quantization"", ""could you help me find restaurants nearby""",Lexogram,REGEX,Sentence Markers,"Filler tokens that hurt sparse precision — they match documents containing ""please"" everywhere. Signal for NL/conversational phrasing → dense. Also distinguishes user-written from programmatic queries."
Greetings,No,"""hi how do I set up Qdrant on Kubernetes"", ""hello what is HNSW""",Lexogram,REGEX,Sentence Markers,"Pure retrieval noise. If not stripped, sparse matches greeting tokens in documents. Strong signal the query is conversational and needs preprocessing. Correlates with NL phrasing → dense/hybrid."
Syntactic Depth & Clause Counts,No,"""the paper that introduced the attention mechanism used in transformers"" (deep) vs ""attention mechanism paper"" (flat)",Lexogram,MODEL,Semantical,Deep syntactic structure = compositional meaning that sparse bag-of-words loses → dense. Flat structure ≈ keyword bag → sparse sufficient. Clause count approximates how much compositionality matters.
"Degree of corruption: clean, light, heavy",No,"clean: ""vector database comparison"" | light: ""vetor databse comparison"" | heavy: ""vctr dtbs cmprsn""",Lexogram,MODEL,Corruption,"Meta-feature aggregating character/word-level corruption below. Clean → any mode works. Light → sparse breaks on corrupted tokens, dense subword tokenization partially robust. Heavy → both degrade, hybrid with fuzzy matching needed."
Character level typos: insert / delete / substitute/ swap / keyword-adjacent,No,"""restrant"" (delete), ""resttaurant"" (insert), ""resyaurant"" (keyboard-adjacent)",Lexogram,ALGO,Corruption,Character typos break exact token matching → sparse recall drops to zero for the corrupted term. Dense embeddings with subword tokenization are partially robust if enough of the subword survives. Signals a need to lean away from pure sparse.
"Word-level noise, dropped words, scrambled order, unnatural phrasing",No,"""database vector how setup"" (scrambled), ""best for search"" (dropped key noun)",Lexogram,MODEL,Corruption,"Scrambled order hurts dense models relying on position; dropped words hurt sparse recall. Both modes degrade, so hybrid may be most robust. Unnatural phrasing also means distribution mismatch for dense."
